time	V(pay)/(D(V(Vind,Vtr))/D(time)+10/280e-9*V(Vind,Vtr))	V(vtr)
2.092833057141144e-007	1.803372e-008	5.667807e-001
2.094146418073216e-007	1.004268e-008	6.630357e-001
2.095260929196955e-007	5.531776e-009	8.085338e-001
2.096287359933925e-007	3.103333e-009	1.050214e+000
2.097429897741982e-007	2.043711e-009	1.507983e+000
2.098506588837884e-007	1.587576e-009	2.135956e+000
2.098924851434987e-007	1.265270e-009	2.448039e+000
2.099163474805792e-007	1.094590e-009	2.654772e+000
2.099522753258390e-007	1.024424e-009	2.994483e+000
2.100000000000000e-007	9.591634e-010	3.471484e+000
2.100334072719127e-007	8.776451e-010	3.840108e+000
2.100715870112415e-007	8.123222e-010	4.287541e+000
2.101479464898991e-007	7.395282e-010	5.252268e+000
2.103006654472143e-007	6.623489e-010	7.394232e+000
2.105960790604692e-007	5.968122e-010	1.204609e+001
2.109797452172915e-007	5.393835e-010	1.879457e+001
2.114478400422538e-007	4.857402e-010	2.782958e+001
2.120035114126407e-007	4.239082e-010	3.974977e+001
2.123468325392837e-007	3.505552e-010	4.863295e+001
2.124375575307007e-007	2.529355e-010	5.181248e+001
2.125133371010662e-007	2.216028e-010	5.507522e+001
2.125612681888273e-007	2.105713e-010	5.727071e+001
2.126068962053394e-007	2.059336e-010	5.941880e+001
2.126981522383637e-007	2.035650e-010	6.377286e+001
2.128619533898641e-007	2.007411e-010	7.165906e+001
2.130752542448577e-007	1.958041e-010	8.204454e+001
2.133566740433292e-007	1.842380e-010	9.610811e+001
2.137727873546943e-007	1.637642e-010	1.184038e+002
2.142592252259381e-007	1.392006e-010	1.480500e+002
2.145459117802579e-007	1.109285e-010	1.692477e+002
2.147544413090489e-007	8.976140e-011	1.883513e+002
2.150182191605210e-007	8.096737e-011	2.162091e+002
2.150941938128231e-007	7.434673e-011	2.248889e+002
2.151763673948882e-007	7.190429e-011	2.346847e+002
2.152598592152255e-007	7.065411e-011	2.447655e+002
2.153416470387566e-007	6.979273e-011	2.547074e+002
2.154295084108317e-007	6.915158e-011	2.654072e+002
2.155099084447913e-007	6.882287e-011	2.751787e+002
2.155974158072711e-007	6.859341e-011	2.857615e+002
2.156926750404518e-007	6.851891e-011	2.971918e+002
2.158094776361209e-007	6.845235e-011	3.110508e+002
2.159473274566103e-007	6.860909e-011	3.271492e+002
2.161266972973640e-007	6.893646e-011	3.476202e+002
2.163662643192397e-007	6.996972e-011	3.740111e+002
2.167226658578022e-007	7.213164e-011	4.109289e+002
2.173148917859597e-007	7.379014e-011	4.657622e+002
